id,address,bedrooms,full_bathrooms,half_bathrooms,type,size_sqft,lot_size,price
82,5156 Treasure Ave Las Vegas NV 89122,3,2,0,Single Family Home,1673,6969,155000
83,6142 Wheat Penny Ave Las Vegas NV 89122,3,2,0,Single Family Home,1234,4356,179900
84,9 Midnight Ridge Dr Las Vegas NV 89135,4,4,1,Single Family Home,4778,15246,1935000
85,9477 Thatched Sunlight Ct Las Vegas NV 89178,3,2,1,Single Family Home,1796,4791,140000
86,7950 W Flamingo Rd Unit 1071 Las Vegas NV 89147,2,2,0,Condo/Townhome/Row Home/Co-Op,1023,2395,95000
87,8429 Vivid Violet Ave Las Vegas NV 89143,5,3,0,Single Family Home,3297,7405,379900
88,7810 Carolyn Lee St Las Vegas NV 89131,3,3,1,Single Family Home,3426,16988.4,459999
89,1165 Jewel Weed Ct Las Vegas NV 89123,3,2,0,Single Family Home,1809,8276,285999
90,4909 Braeburn Dr Las Vegas NV 89130,3,2,0,Single Family Home,1712,6969,189000
91,7109 Montcliff Ave Las Vegas NV 89147,4,2,0,Single Family Home,1509,6098,189900
92,7564 Wentworth Springs Ct Las Vegas NV 89139,3,2,0,Single Family Home,1250,3920,195000
93,5453 Red Sun Dr Las Vegas NV 89149,3,2,1,Single Family Home,1937,5662,210000
94,2960 Reatini Ct Las Vegas NV 89052,5,3,0,Single Family Home,3225,7840,448000
95,5121 Pioneer Ave Apt 103 Las Vegas NV 89146,2,2,0,Condo/Townhome/Row Home/Co-Op,1105,,89900
96,7817 Meadowrobin Ave Las Vegas NV 89131,4,2,1,Single Family Home,2284,4791,199900
97,1522 Phillips Ave Las Vegas NV 89104,4,2,0,Single Family Home,1425,7405,147000
98,31 Hawk Ridge Dr Las Vegas NV 89135,5,5,2,Single Family Home,7820,29185.2,3749000
99,2747 Paradise Rd Unit 1103 Las Vegas NV 89109,2,2,1,Condo/Townhome/Row Home/Co-Op,2195,,449000
100,2630 Plan Las Vegas NV 89179,5,3,0,Single Family Home; Ready to build,2630,130680,267900
101,6408 Penrose Ln Las Vegas NV 89107,3,2,0,Single Family Home,1354,7840,115000
102,5912 Negril Ave Las Vegas NV 89130,4,2,0,Single Family Home,1947,7840,205000
103,870 N Sloan Ln Apt 102 Las Vegas NV 89110,2,2,0,Condo/Townhome/Row Home/Co-Op,900,,60000
104,6130 Patriots Point Ct Unit Lot 3005 Las Vegas NV 89108,3,2,0,Single Family Home,1630,6969,214999
105,3308 Royal Glen Ct Las Vegas NV 89117,4,3,0,Single Family Home,2320,4356,234900
106,10616 Umbrella Tree Ct Las Vegas NV 89144,4,2,1,Single Family Home,2106,6969,309900
107,1520 Teton St Las Vegas NV 89101,3,2,0,Single Family Home,1161,6534,78500
108,3394 Ewa Beach Dr Las Vegas NV 89122,2,2,0,Mfd/Mobile Home,854,3920,55000
109,3430 Tanto Cir Las Vegas NV 89121,4,3,0,Single Family Home,4008,16117.2,557900
110,6065 Crystal Brook Ct Las Vegas NV 89149,3,2,1,Single Family Home,2788,19602,278000
111,9106 Horizon Mist Ave Las Vegas NV 89178,3,3,0,Single Family Home,1995,4791,205000
112,9593 Los Cotos Ct Las Vegas NV 89147,5,3,1,Single Family Home,3546,11761.2,415000
113,2291 Orchard Valley Dr Las Vegas NV 89142,4,3,0,Single Family Home,1940,5445,97000
114,6116 Browning Way Las Vegas NV 89130,3,2,0,Single Family Home,1931,6534,218000
115,6468 Za Zu Pitts Av Unit: 101 Las Vegas NV 89122,2,2,0,Condo/Townhome/Row Home/Co-Op,1218,1306,92000
116,2617 Chateau Clermont St Henderson NV 89044,6,5,0,Single Family Home,3701,6534,599000
117,7936 Meandering Light Ave Las Vegas NV 89131,4,3,0,Single Family Home,2220,4356,239000
118,262 Forest Valley Ct Las Vegas NV 89124,4,4,1,Single Family Home,5984,3484,1250000
119,Las Vegas NV 89115,3,2,0,Condo/Townhome/Row Home/Co-Op,1239,2657,45000
120,2777 Paradise Rd Unit 2903 Las Vegas NV 89109,2,2,1,Condo/Townhome/Row Home/Co-Op,2195,,499000
121,10035 Oak Creek Canyon Ave Las Vegas NV 89147,2,2,0,Condo/Townhome/Row Home/Co-Op,1249,2613,175000
122,2536 Dornoch Ln Henderson NV 89044,5,4,1,Single Family Home,3744,9583,550000
123,2638 Kinghorn Pl Henderson NV 89044,4,3,1,Single Family Home,3022,5662,395000
124,292 Broadcast Ave Las Vegas NV 89183,5,3,0,Single Family Home,4058,12632.4,425000
125,4241 Flaming Ridge Trl Las Vegas NV 89147,3,2,0,Single Family Home,2124,6098,290000
126,1612 Cordoba Canyon St Las Vegas NV 89117,4,3,0,Single Family Home,2418,4356,265000
127,7613 Constantinople Ave Las Vegas NV 89129,3,2,1,Single Family Home,1725,3920,159900
128,838 Tam O Shanter Las Vegas NV 89109,2,3,0,Condo/Townhome/Row Home/Co-Op,1350,,165000
129,10612 Isola Bella St Las Vegas NV 89141,3,2,1,Single Family Home,2295,5227,269900
130,322 Karen Ave Unit 508 Las Vegas NV 89109,2,2,0,Condo/Townhome/Row Home/Co-Op,1657,,450000
131,615 Franklin Ave Las Vegas NV 89104,3,2,0,Single Family Home,1510,7405,200000
132,10106 Quilt Tree St Las Vegas NV 89183,3,2,1,Condo/Townhome/Row Home/Co-Op,1510,2178,159900
133,1830 N Pecos Rd Unit: 259 Las Vegas NV 89115,1,1,0,Condo/Townhome/Row Home/Co-Op,675,1873,48900
134,10640 Cactus Brush Ct Las Vegas NV 89141,4,2,1,Single Family Home,1798,3920,225000
135,5017 Rustic Charm Ct Las Vegas NV 89131,2,2,0,Single Family Home,1396,4791,120000
136,Las Vegas NV 89101,5,2,0,Single Family Home,1696,7405,105000
137,7456 Calzado Dr Las Vegas NV 89178,4,3,0,Single Family Home,1795,3920,205000
138,5882 Whispering Pine Ave Las Vegas NV 89142,3,2,0,Single Family Home,1152,3920,116000
139,8420 White Eagle Ave Unit 102 Las Vegas NV 89145,2,2,0,Condo/Townhome/Row Home/Co-Op,1108,2831,95000
140,5409 Centurion Ct Unit: 203 Las Vegas NV 89122,2,1,0,Condo/Townhome/Row Home/Co-Op,806,827,49900
141,657 Shirehampton Dr Las Vegas NV 89178,5,3,0,Single Family Home,3802,8712,369900
142,8756 Captains Pl Las Vegas NV 89117,3,3,0,Single Family Home,2378,4791,695000
143,5220 Lytton Ave Las Vegas NV 89146,3,2,0,Single Family Home,1314,7840,99000
144,200 W Sahara Ave Unit 801 Las Vegas NV 89102,2,2,0,Condo/Townhome/Row Home/Co-Op,1563,,281000
145,350 Whitly Bay Ave Las Vegas NV 89148,4,3,1,Single Family Home,3699,6969,468900
146,9844 High Alpine St Las Vegas NV 89178,4,3,0,Single Family Home,2832,6098,209000
147,5305 Great Horizon Dr Las Vegas NV 89149,4,4,0,Single Family Home,3574,10890,388888
148,4902 Perrone Ave Las Vegas NV 89141,3,2,0,Single Family Home,1405,4356,180000
149,10301 Kadumba St Las Vegas NV 89178,4,3,0,Single Family Home,3145,6098,299900
150,1901 Manhattan Dr Las Vegas NV 89106,4,2,0,Single Family Home,1347,6969,72900
151,512 Canyon Greens Dr Las Vegas NV 89144,5,4,2,Single Family Home,6783,16552.8,2250000
152,9670 Quarterhorse Ln Las Vegas NV 89178,5,4,1,Single Family Home,4265,6098,469000
153,9304 Pink Pear Ct Las Vegas NV 89149,3,2,1,Condo/Townhome/Row Home/Co-Op,1636,2613,169990
154,4575 Dean Martin Dr Unit 1600 Las Vegas NV 89103,2,2,1,Condo/Townhome/Row Home/Co-Op,2052,,599000
155,2717 Stars End St Las Vegas NV 89108,3,2,1,Condo/Townhome/Row Home/Co-Op,1408,1306,97500
156,7363 Glorious Sun Dr Las Vegas NV 89178,3,2,1,Single Family Home,2241,4791,225000
157,8150 Pechavez St Las Vegas NV 89131,5,3,0,Single Family Home,3973,10454.4,400000
158,9717 Mount Lompoc Ct Las Vegas NV 89178,5,3,0,Single Family Home,3132,4791,340000
159,1878 Venalynne St Las Vegas NV 89156,3,2,0,Single Family Home,1253,6534,130000
160,224 Star Cluster Cir Las Vegas NV 89145,3,2,1,Condo/Townhome/Row Home/Co-Op,1534,1306,138800
161,8740 Apiary Wind St Las Vegas NV 89131,4,2,1,Single Family Home,2791,6534,279990
162,5399 Bradford Pear Dr Las Vegas NV 89122,4,2,1,Single Family Home,1601,1742,118000
163,Las Vegas NV 89147,3,2,1,Single Family Home,1930,4356,235550
164,6360 W Dewey Dr Las Vegas NV 89118,5,4,1,Single Family Home,4897,22215.6,648000
165,5416 Spencer St Las Vegas NV 89119,3,2,0,Single Family Home,1618,6969,85000
166,10164 Birch Bluff Ln Las Vegas NV 89145,3,2,0,Condo/Townhome/Row Home/Co-Op,1392,3484,227900
167,8120 Tilkuni Dr Las Vegas NV 89166,3,2,1,Single Family Home,1854,3049,180000
168,1505 Golden Oak Dr Las Vegas NV 89117,5,5,1,Single Family Home,5346,20908.8,1199900
169,7923 Napier St Las Vegas NV 89131,4,2,1,Single Family Home,2184,3049,225000
170,1426 Laguna Ave Las Vegas NV 89169,5,3,0,Single Family Home,1595,10018.8,130000
171,7102 Brighton Village St Las Vegas NV 89166,4,2,1,Single Family Home,2142,4791,190000
172,3151 Soaring Gulls Dr Unit: 1169 Las Vegas NV 89128,1,1,0,Condo/Townhome/Row Home/Co-Op,704,,34000
173,6993 Grand Junction Ave Las Vegas NV 89179,5,2,1,Single Family Home,2293,4356,208000
174,3011 Pinto Ln Las Vegas NV 89107,6,6,3,Single Family Home,8721,43124.4,3875000
175,7833 Painted Sunset Dr Las Vegas NV 89149,3,3,0,Single Family Home,2608,9583,517000
176,2200 S Fort Apache Rd Unit 1101 Las Vegas NV 89117,2,2,0,Condo/Townhome/Row Home/Co-Op,1053,,79000
